entity_type,entity,date,severity,описание,real_user,event_count,time_range,top_hours,программы,top_event_names,top_users,top_hosts,top_addresses,source_files
user,user006,2025-12-23,medium,События: 7706. Диапазон времени: 2025-12-23 00:00:10 — 2025-12-23 23:59:33. Пиковые часы: 17:00 (627); 13:00 (552); 11:00 (389); 23:00 (369); 07:00 (358). Аномальное время работы (ночь/поздний вечер): 23:00 (369). Запуск ПО: Trusted Zone (2697); - (2559); Kerberos (1683); NtLmSsp (939); Negotiat (2). События/ID: Microsoft-Windows-Security-Auditing (4980); TRAFFIC (2663); end (2656); 4624 (2627); An account was successfully logged on. (2627). Сетевые адреса/сайты: 10.14.1.71 (2347); 10.50.11.20 (1311); 10.14.1.72 (1157); 213.180.193.234 (151); 172.178.240.161 (114).,dwm-7,7706,2025-12-23 00:00:10 — 2025-12-23 23:59:33,17:00 (627); 13:00 (552); 11:00 (389); 23:00 (369); 07:00 (358),Trusted Zone (2697); - (2559); Kerberos (1683); NtLmSsp (939); Negotiat (2),Microsoft-Windows-Security-Auditing (4980); TRAFFIC (2663); end (2656); 4624 (2627); An account was successfully logged on. (2627),user006 (7708); - (3795); tmtp-004132$ (4); cplus-nps01$ (3),,10.14.1.71 (2347); 10.50.11.20 (1311); 10.14.1.72 (1157); 213.180.193.234 (151); 172.178.240.161 (114),user006_SIEM_2025-12-23.csv; user006_PAN_2025-12-23.csv
user,user010,2025-12-23,medium,События: 12018. Диапазон времени: 2025-12-23 00:01:10 — 2025-12-23 23:59:13. Пиковые часы: 15:00 (1970); 16:00 (1911); 10:00 (913); 13:00 (738); 14:00 (507). Запуск ПО: Trusted Zone (3445); Kerberos (1784); - (1769); Android-Mail/2025.11.17.834797744.Release (916); C:\\Windows\\System32\\svchost.exe (722). События/ID: Microsoft-Windows-Security-Auditing (6715); TRAFFIC (3445); end (3445); 4624 (1913); An account was successfully logged on. (1913). Сетевые адреса/сайты: 10.14.1.71 (3481); 10.14.1.72 (2814); 10.50.30.56 (1669); 185.16.148.114 (339); 217.20.155.4 (307).,o.ageeva,12018,2025-12-23 00:01:10 — 2025-12-23 23:59:13,15:00 (1970); 16:00 (1911); 10:00 (913); 13:00 (738); 14:00 (507),Trusted Zone (3445); Kerberos (1784); - (1769); Android-Mail/2025.11.17.834797744.Release (916); C:\\Windows\\System32\\svchost.exe (722),Microsoft-Windows-Security-Auditing (6715); TRAFFIC (3445); end (3445); 4624 (1913); An account was successfully logged on. (1913),user010 (12018); - (4264); tmtp-000766$ (831); spb-msg01$ (24); spb-msg02$ (24),,10.14.1.71 (3481); 10.14.1.72 (2814); 10.50.30.56 (1669); 185.16.148.114 (339); 217.20.155.4 (307),user010_SIEM_2025-12-23.csv; user010_PAN_2025-12-23.csv
user,user019,2025-12-23,medium,События: 16232. Диапазон времени: 2025-12-23 00:00:13 — 2025-12-23 23:59:51. Пиковые часы: 21:00 (1053); 09:00 (900); 17:00 (845); 23:00 (840); 15:00 (774). Аномальное время работы (ночь/поздний вечер): 23:00 (840). Запуск ПО: Trusted Zone (2841); NtLmSsp (2281); - (1804); The username you typed does not eXist. Bad username. (1440); Kerberos (987). События/ID: Microsoft-Windows-Security-Auditing (10584); An account was successfully logged on. (3289); 4624 (3289); An account was logged off. (3165); 4634 (3165). Сетевые адреса/сайты: 10.37.2.37 (4332); 10.14.1.72 (2293); 10.14.1.71 (1836); 10.37.2.7 (358); 10.37.2.1 (214).,,16232,2025-12-23 00:00:13 — 2025-12-23 23:59:51,21:00 (1053); 09:00 (900); 17:00 (845); 23:00 (840); 15:00 (774),Trusted Zone (2841); NtLmSsp (2281); - (1804); The username you typed does not eXist. Bad username. (1440); Kerberos (987),Microsoft-Windows-Security-Auditing (10584); An account was successfully logged on. (3289); 4624 (3289); An account was logged off. (3165); 4634 (3165),user019 (16332); - (4763); cplus-010803-lt$ (17); zab-probe02$ (10); cplus-nps01$ (9),,10.37.2.37 (4332); 10.14.1.72 (2293); 10.14.1.71 (1836); 10.37.2.7 (358); 10.37.2.1 (214),user019_SIEM_2025-12-23.csv; user019_PAN_2025-12-23.csv
user,user054,2025-12-23,medium,События: 8661. Диапазон времени: 2025-12-23 00:07:37 — 2025-12-23 23:52:45. Пиковые часы: 12:00 (1037); 13:00 (1001); 11:00 (834); 16:00 (805); 15:00 (737). Запуск ПО: - (4501); NtLmSsp (3025); Trusted Zone (2737); Kerberos (1468); Negotiat (4). События/ID: Microsoft-Windows-Security-Auditing (5924); 4624 (4501); An account was successfully logged on. (4501); end (2737); TRAFFIC (2737). Сетевые адреса/сайты: 10.50.11.20 (3725); 10.14.1.71 (1074); 10.14.1.72 (1034); 135.233.45.222 (244); 135.233.45.221 (216).,,8661,2025-12-23 00:07:37 — 2025-12-23 23:52:45,12:00 (1037); 13:00 (1001); 11:00 (834); 16:00 (805); 15:00 (737),- (4501); NtLmSsp (3025); Trusted Zone (2737); Kerberos (1468); Negotiat (4),Microsoft-Windows-Security-Auditing (5924); 4624 (4501); An account was successfully logged on. (4501); end (2737); TRAFFIC (2737),user054 (8661); - (5203); tmtp-003560$ (9),,10.50.11.20 (3725); 10.14.1.71 (1074); 10.14.1.72 (1034); 135.233.45.222 (244); 135.233.45.221 (216),user054_SIEM_2025-12-23.csv; user054_PAN_2025-12-23.csv
user,user037,2025-12-23,medium,События: 1. Диапазон времени: 2025-12-23 08:05:58 — 2025-12-23 08:05:58. Пиковые часы: 08:00 (1). Запуск ПО: No errors. (1). События/ID: The domain controller attempted to validate the credentials for an account. (1); 4776 (1); Microsoft-Windows-Security-Auditing (1). Сетевые адреса/сайты: 10.37.2.7 (1).,,1,2025-12-23 08:05:58 — 2025-12-23 08:05:58,08:00 (1),No errors. (1),The domain controller attempted to validate the credentials for an account. (1); 4776 (1); Microsoft-Windows-Security-Auditing (1),user037 (1),,10.37.2.7 (1),user037_SIEM_2025-12-23.csv
user,user090,2025-12-23,medium,"События: 5888. Диапазон времени: 2025-12-23 00:00:23 — 2025-12-23 23:56:12. Пиковые часы: 17:00 (321); 15:00 (306); 13:00 (292); 21:00 (292); 10:00 (275). Запуск ПО: - (1677); Kerberos (1614); Apple-iPhone14C3/2207.100 (197); C:\\Windows\\System32\\svchost.exe (174); ""C:\\Program Files (x86)\\Adobe\\Acrobat Reader DC\\Reader\\FullTrustNotifier.exe"" GetChannelUri (96). События/ID: Microsoft-Windows-Security-Auditing (5445); 4624 (1677); An account was successfully logged on. (1677); An account was logged off. (1638); 4634 (1638). Сетевые адреса/сайты: 10.14.1.71 (3843); 10.14.1.72 (1446); 10.50.30.77 (468); 10.10.7.21 (42); 10.37.7.77 (24).",,5888,2025-12-23 00:00:23 — 2025-12-23 23:56:12,17:00 (321); 15:00 (306); 13:00 (292); 21:00 (292); 10:00 (275),"- (1677); Kerberos (1614); Apple-iPhone14C3/2207.100 (197); C:\\Windows\\System32\\svchost.exe (174); ""C:\\Program Files (x86)\\Adobe\\Acrobat Reader DC\\Reader\\FullTrustNotifier.exe"" GetChannelUri (96)",Microsoft-Windows-Security-Auditing (5445); 4624 (1677); An account was successfully logged on. (1677); An account was logged off. (1638); 4634 (1638),user090 (5888); - (3499); tmtp-000833$ (251); spb-msg01$ (24); spb-msg02$ (24),,10.14.1.71 (3843); 10.14.1.72 (1446); 10.50.30.77 (468); 10.10.7.21 (42); 10.37.7.77 (24),user090_SIEM_2025-12-23.csv
user,user107,2025-12-23,medium,События: 3410. Диапазон времени: 2025-12-23 00:01:53 — 2025-12-23 23:58:32. Пиковые часы: 09:00 (385); 08:00 (286); 10:00 (249); 13:00 (244); 15:00 (216). Запуск ПО: - (1625); Kerberos (1193); NtLmSsp (421); No errors. (11); User32 (5). События/ID: Microsoft-Windows-Security-Auditing (3410); 4624 (1625); An account was successfully logged on. (1625); 4627 (887); Group membership information. (887). Сетевые адреса/сайты: 10.14.1.72 (1695); 10.14.1.71 (949); 10.50.11.20 (606); 10.50.11.103 (61); 10.50.11.35 (22).,,3410,2025-12-23 00:01:53 — 2025-12-23 23:58:32,09:00 (385); 08:00 (286); 10:00 (249); 13:00 (244); 15:00 (216),- (1625); Kerberos (1193); NtLmSsp (421); No errors. (11); User32 (5),Microsoft-Windows-Security-Auditing (3410); 4624 (1625); An account was successfully logged on. (1625); 4627 (887); Group membership information. (887),user107 (3411); - (2501); tmtp-004135$ (12),,10.14.1.72 (1695); 10.14.1.71 (949); 10.50.11.20 (606); 10.50.11.103 (61); 10.50.11.35 (22),user107_SIEM_2025-12-23.csv
user,user022,2025-12-23,medium,События: 22292. Диапазон времени: 2025-12-23 00:00:15 — 2025-12-23 23:59:38. Пиковые часы: 11:00 (1847); 09:00 (1474); 15:00 (1377); 14:00 (1286); 10:00 (1183). Запуск ПО: Trusted Zone (13263); - (2887); Kerberos (2604); Outlook-iOS-Android/1.0 (1301); NtLmSsp (327). События/ID: TRAFFIC (13407); end (13302); Microsoft-Windows-Security-Auditing (6892); 4624 (2944); An account was successfully logged on. (2944). Сетевые адреса/сайты: 10.14.1.71 (3606); 10.14.1.72 (2793); 10.50.11.6 (1101); 79.133.169.84 (599); 213.180.193.234 (573).,,22292,2025-12-23 00:00:15 — 2025-12-23 23:59:38,11:00 (1847); 09:00 (1474); 15:00 (1377); 14:00 (1286); 10:00 (1183),Trusted Zone (13263); - (2887); Kerberos (2604); Outlook-iOS-Android/1.0 (1301); NtLmSsp (327),TRAFFIC (13407); end (13302); Microsoft-Windows-Security-Auditing (6892); 4624 (2944); An account was successfully logged on. (2944),user022 (21658); - (4572); user024 (640); spb-msg01$ (21); spb-msg02$ (12),,10.14.1.71 (3606); 10.14.1.72 (2793); 10.50.11.6 (1101); 79.133.169.84 (599); 213.180.193.234 (573),user022_SIEM_2025-12-23.csv; user022_PAN_2025-12-23.csv
user,user055,2025-12-23,medium,События: 22409. Диапазон времени: 2025-12-23 00:00:06 — 2025-12-23 23:59:33. Пиковые часы: 10:00 (2434); 14:00 (2014); 13:00 (1497); 11:00 (1296); 21:00 (1235). Запуск ПО: - (8974); Trusted Zone (5941); NtLmSsp (4992); Kerberos (3967); C:\\Windows\\System32\\svchost.exe (1223). События/ID: Microsoft-Windows-Security-Auditing (16331); An account was successfully logged on. (8975); 4624 (8975); end (5941); TRAFFIC (5941). Сетевые адреса/сайты: 10.50.11.20 (6306); 10.14.1.71 (4230); 10.14.1.72 (3266); 10.50.30.87 (1925); 213.180.193.234 (447).,,22409,2025-12-23 00:00:06 — 2025-12-23 23:59:33,10:00 (2434); 14:00 (2014); 13:00 (1497); 11:00 (1296); 21:00 (1235),- (8974); Trusted Zone (5941); NtLmSsp (4992); Kerberos (3967); C:\\Windows\\System32\\svchost.exe (1223),Microsoft-Windows-Security-Auditing (16331); An account was successfully logged on. (8975); 4624 (8975); end (5941); TRAFFIC (5941),user055 (22411); - (12333); tmtp-000362$ (1143); tmtp-000126$ (290); cplus-nps01$ (3),,10.50.11.20 (6306); 10.14.1.71 (4230); 10.14.1.72 (3266); 10.50.30.87 (1925); 213.180.193.234 (447),user055_SIEM_2025-12-23.csv; user055_PAN_2025-12-23.csv
host,tmtp-003366,2025-12-23,high,События: 12205. Диапазон времени: 2025-12-23 07:55:02 — 2025-12-23 23:58:31. Пиковые часы: 09:00 (1270); 08:00 (1128); 13:00 (953); 22:00 (879); 10:00 (736). Аномальное время работы (ночь/поздний вечер): 22:00 (879). Запуск ПО: C:\\Windows\\System32\\cmd.exe (3739); C:\\Windows\\System32\\svchost.exe (2186); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (1946); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (1868); C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe (966). События/ID: Microsoft-Windows-Security-Auditing (12205); 4688 (11370); A new process has been created. (11369); 4624 (489); An account was successfully logged on. (489). Сетевые адреса/сайты: 10.50.21.112 (12132); 10.50.11.34 (48); 10.50.11.20 (12); 10.37.7.77 (9); 10.50.11.6 (2).,,12205,2025-12-23 07:55:02 — 2025-12-23 23:58:31,09:00 (1270); 08:00 (1128); 13:00 (953); 22:00 (879); 10:00 (736),C:\\Windows\\System32\\cmd.exe (3739); C:\\Windows\\System32\\svchost.exe (2186); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (1946); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (1868); C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe (966),Microsoft-Windows-Security-Auditing (12205); 4688 (11370); A new process has been created. (11369); 4624 (489); An account was successfully logged on. (489),tmtp-003366$ (12598); - (9116); user048 (2019); user036 (312); user074 (292),,10.50.21.112 (12132); 10.50.11.34 (48); 10.50.11.20 (12); 10.37.7.77 (9); 10.50.11.6 (2),tmtp-003366_SIEM_2025-12-23.csv
host,tmtp-000247,2025-12-23,high,"События: 21493. Диапазон времени: 2025-12-23 00:00:31 — 2025-12-23 23:59:44. Пиковые часы: 10:00 (2167); 09:00 (1531); 15:00 (895); 12:00 (887); 18:00 (873). Запуск ПО: C:\\Windows\\System32\\cmd.exe (8451); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (4307); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (4224); C:\\Windows\\System32\\svchost.exe (1705); /C ""powershell -NoProfile -ExecutionPolicy Bypass -Command ""try { $line = Select-String -Path 'C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.conf' -Pattern '^#\\s*ConfigVersion='; if ($line) { $line.Line.Split('=', 2)[1].Trim() } else { 'ERROR: ConfigVersion not found' } } catch { 'ERROR: ' + $_.Exception.Message }"""" (1440). События/ID: Microsoft-Windows-Security-Auditing (21493); 4688 (20302); A new process has been created. (20301); 4624 (798); An account was successfully logged on. (798). Сетевые адреса/сайты: 10.50.32.7 (21430); 10.50.11.34 (39); 10.50.11.20 (12); 10.37.7.77 (9); 10.50.11.6 (2).",,21493,2025-12-23 00:00:31 — 2025-12-23 23:59:44,10:00 (2167); 09:00 (1531); 15:00 (895); 12:00 (887); 18:00 (873),"C:\\Windows\\System32\\cmd.exe (8451); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (4307); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (4224); C:\\Windows\\System32\\svchost.exe (1705); /C ""powershell -NoProfile -ExecutionPolicy Bypass -Command ""try { $line = Select-String -Path 'C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.conf' -Pattern '^#\\s*ConfigVersion='; if ($line) { $line.Line.Split('=', 2)[1].Trim() } else { 'ERROR: ConfigVersion not found' } } catch { 'ERROR: ' + $_.Exception.Message }"""" (1440)",Microsoft-Windows-Security-Auditing (21493); 4688 (20302); A new process has been created. (20301); 4624 (798); An account was successfully logged on. (798),tmtp-000247$ (21966); - (18896); user075 (1166); user036 (582); user074 (290),,10.50.32.7 (21430); 10.50.11.34 (39); 10.50.11.20 (12); 10.37.7.77 (9); 10.50.11.6 (2),tmtp-000247_SIEM_2025-12-23.csv
host,tmtp-000126,2025-12-23,high,"События: 2387. Диапазон времени: 2025-12-23 00:00:32 — 2025-12-23 23:58:01. Пиковые часы: 10:00 (440); 11:00 (419); 15:00 (199); 13:00 (168); 14:00 (153). Запуск ПО: C:\\Windows\\System32\\svchost.exe (1205); ""C:\\WINDOWS\\System32\\LocationNotificationWindows.exe"" (400); - (221); Kerberos (160); C:\\Windows\\System32\\services.exe (137). События/ID: Microsoft-Windows-Security-Auditing (2387); 4688 (1819); A new process has been created. (1819); An account was successfully logged on. (285); 4624 (285). Сетевые адреса/сайты: 10.50.30.224 (2315); 10.50.11.34 (64); 10.50.11.20 (5); 10.37.7.77 (3).",,2387,2025-12-23 00:00:32 — 2025-12-23 23:58:01,10:00 (440); 11:00 (419); 15:00 (199); 13:00 (168); 14:00 (153),"C:\\Windows\\System32\\svchost.exe (1205); ""C:\\WINDOWS\\System32\\LocationNotificationWindows.exe"" (400); - (221); Kerberos (160); C:\\Windows\\System32\\services.exe (137)",Microsoft-Windows-Security-Auditing (2387); 4688 (1819); A new process has been created. (1819); An account was successfully logged on. (285); 4624 (285),tmtp-000126$ (2729); - (1077); user072 (531); user055 (290); user036 (86),,10.50.30.224 (2315); 10.50.11.34 (64); 10.50.11.20 (5); 10.37.7.77 (3),tmtp-000126_SIEM_2025-12-23.csv
host,tmtp-003213,2025-12-23,high,События: 38506. Диапазон времени: 2025-12-23 00:00:00 — 2025-12-23 23:59:30. Пиковые часы: 18:00 (3379); 15:00 (2807); 22:00 (2385); 21:00 (2376); 10:00 (2265). Аномальное время работы (ночь/поздний вечер): 22:00 (2385). Запуск ПО: - (11230); C:\\Windows\\System32\\cmd.exe (8448); NtLmSsp (8421); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (4273); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (4224). События/ID: Microsoft-Windows-Security-Auditing (34580); 4688 (20630); A new process has been created. (20626); An account was successfully logged on. (11528); 4624 (11528). Сетевые адреса/сайты: 10.50.30.102 (21879); 10.50.11.20 (9010); 10.14.1.72 (3000); 135.233.45.222 (215); 10.50.11.9 (209).,,38506,2025-12-23 00:00:00 — 2025-12-23 23:59:30,18:00 (3379); 15:00 (2807); 22:00 (2385); 21:00 (2376); 10:00 (2265),- (11230); C:\\Windows\\System32\\cmd.exe (8448); NtLmSsp (8421); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (4273); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (4224),Microsoft-Windows-Security-Auditing (34580); 4688 (20630); A new process has been created. (20626); An account was successfully logged on. (11528); 4624 (11528),- (29840); tmtp-003213$ (21776); user052 (19182); user036 (689); user074 (503),,10.50.30.102 (21879); 10.50.11.20 (9010); 10.14.1.72 (3000); 135.233.45.222 (215); 10.50.11.9 (209),tmtp-003213_SIEM_2025-12-23.csv; tmtp-003213_PAN_2025-12-23.csv
host,cplus-010620,2025-12-23,low,События: 4337. Диапазон времени: 2025-12-23 00:00:08 — 2025-12-23 23:59:50. Пиковые часы: 02:00 (209); 18:00 (207); 10:00 (204); 13:00 (200); 05:00 (199). Аномальное время работы (ночь/поздний вечер): 02:00 (209); 05:00 (199). Запуск ПО: - (2149); Kerberos (2145); NtLmSsp (31); KDC_ERR_NONE (12); Authz (2). События/ID: Microsoft-Windows-Security-Auditing (4337); An account was successfully logged on. (2178); 4624 (2178); 4634 (2144); An account was logged off. (2144). Сетевые адреса/сайты: 10.50.11.6 (4295); 10.50.11.34 (29); 10.37.7.77 (9); 10.50.11.20 (2); 10.50.11.133 (2).,,4337,2025-12-23 00:00:08 — 2025-12-23 23:59:50,02:00 (209); 18:00 (207); 10:00 (204); 13:00 (200); 05:00 (199),- (2149); Kerberos (2145); NtLmSsp (31); KDC_ERR_NONE (12); Authz (2),Microsoft-Windows-Security-Auditing (4337); An account was successfully logged on. (2178); 4624 (2178); 4634 (2144); An account was logged off. (2144),cplus-010620$ (4337); - (2179); tmtp-lictrds$ (2),,10.50.11.6 (4295); 10.50.11.34 (29); 10.37.7.77 (9); 10.50.11.20 (2); 10.50.11.133 (2),cplus-010620_SIEM_2025-12-23.csv
host,tmtp-000392,2025-12-23,low,События: 3842. Диапазон времени: 2025-12-23 00:00:08 — 2025-12-23 23:59:50. Пиковые часы: 16:00 (195); 18:00 (184); 20:00 (184); 03:00 (182); 22:00 (182). Аномальное время работы (ночь/поздний вечер): 03:00 (182); 22:00 (182). Запуск ПО: - (1926); Kerberos (1906); NtLmSsp (42); KDC_ERR_NONE (12); Authz (4). События/ID: Microsoft-Windows-Security-Auditing (3842); An account was successfully logged on. (1952); 4624 (1952); 4634 (1876); An account was logged off. (1876). Сетевые адреса/сайты: 10.50.11.6 (3761); 10.50.11.20 (45); 10.50.11.34 (26); 10.37.7.77 (6); 10.50.11.133 (4).,,3842,2025-12-23 00:00:08 — 2025-12-23 23:59:50,16:00 (195); 18:00 (184); 20:00 (184); 03:00 (182); 22:00 (182),- (1926); Kerberos (1906); NtLmSsp (42); KDC_ERR_NONE (12); Authz (4),Microsoft-Windows-Security-Auditing (3842); An account was successfully logged on. (1952); 4624 (1952); 4634 (1876); An account was logged off. (1876),tmtp-000392$ (3842); - (1950); tmtp-lictrds$ (4),,10.50.11.6 (3761); 10.50.11.20 (45); 10.50.11.34 (26); 10.37.7.77 (6); 10.50.11.133 (4),tmtp-000392_SIEM_2025-12-23.csv
host,tmtp-004132,2025-12-23,low,События: 719. Диапазон времени: 2025-12-23 00:00:31 — 2025-12-23 23:57:28. Пиковые часы: 09:00 (48); 08:00 (47); 11:00 (46); 20:00 (37); 01:00 (33). Аномальное время работы (ночь/поздний вечер): 01:00 (33). Запуск ПО: - (688); Advapi (486); Kerberos (219); Authz (8); User32 (2). События/ID: Microsoft-Windows-Security-Auditing (719); 4624 (717); An account was successfully logged on. (717); An account was logged off. (1); Group membership information. (1). Сетевые адреса/сайты: 10.50.21.55 (594); 10.50.11.20 (83); 10.50.11.34 (29); 10.50.11.133 (8); 10.37.7.77 (3).,,719,2025-12-23 00:00:31 — 2025-12-23 23:57:28,09:00 (48); 08:00 (47); 11:00 (46); 20:00 (37); 01:00 (33),- (688); Advapi (486); Kerberos (219); Authz (8); User32 (2),Microsoft-Windows-Security-Auditing (719); 4624 (717); An account was successfully logged on. (717); An account was logged off. (1); Group membership information. (1),tmtp-004132$ (719); user036 (471); - (220); user035 (13); tmtp-lictrds$ (8),,10.50.21.55 (594); 10.50.11.20 (83); 10.50.11.34 (29); 10.50.11.133 (8); 10.37.7.77 (3),tmtp-004132_SIEM_2025-12-23.csv
host,tmtp-003612,2025-12-23,low,События: 3016. Диапазон времени: 2025-12-23 08:03:04 — 2025-12-23 23:59:18. Пиковые часы: 19:00 (436); 08:00 (419); 09:00 (363); 10:00 (356); 18:00 (198). Запуск ПО: C:\\Windows\\System32\\svchost.exe (895); C:\\Windows\\System32\\services.exe (540); - (444); Advapi (333); C:\\Windows\\System32\\SearchIndexer.exe (328). События/ID: Microsoft-Windows-Security-Auditing (3016); 4688 (2276); A new process has been created. (2275); An account was successfully logged on. (461); 4624 (461). Сетевые адреса/сайты: 10.50.30.9 (2984); 10.50.11.34 (17); 10.37.7.77 (9); 10.50.11.163 (3); 10.50.11.6 (2).,,3016,2025-12-23 08:03:04 — 2025-12-23 23:59:18,19:00 (436); 08:00 (419); 09:00 (363); 10:00 (356); 18:00 (198),C:\\Windows\\System32\\svchost.exe (895); C:\\Windows\\System32\\services.exe (540); - (444); Advapi (333); C:\\Windows\\System32\\SearchIndexer.exe (328),Microsoft-Windows-Security-Auditing (3016); 4688 (2276); A new process has been created. (2275); An account was successfully logged on. (461); 4624 (461),tmtp-003612$ (3386); - (1380); user003 (538); user036 (315); user074 (288),,10.50.30.9 (2984); 10.50.11.34 (17); 10.37.7.77 (9); 10.50.11.163 (3); 10.50.11.6 (2),tmtp-003612_SIEM_2025-12-23.csv
host,tmtp-000323,2025-12-23,low,События: 3899. Диапазон времени: 2025-12-23 00:00:04 — 2025-12-23 23:58:19. Пиковые часы: 12:00 (588); 09:00 (349); 14:00 (204); 13:00 (204); 15:00 (202). Запуск ПО: C:\\Windows\\System32\\svchost.exe (1355); C:\\Windows\\System32\\services.exe (783); - (668); Advapi (549); C:\\Windows\\System32\\SearchIndexer.exe (327). События/ID: Microsoft-Windows-Security-Auditing (3899); 4688 (2862); A new process has been created. (2860); An account was successfully logged on. (690); 4624 (690). Сетевые адреса/сайты: 10.50.21.99 (3863); 10.50.11.34 (22); 10.50.11.6 (6); 10.37.7.77 (6); 10.50.11.20 (1).,,3899,2025-12-23 00:00:04 — 2025-12-23 23:58:19,12:00 (588); 09:00 (349); 14:00 (204); 13:00 (204); 15:00 (202),C:\\Windows\\System32\\svchost.exe (1355); C:\\Windows\\System32\\services.exe (783); - (668); Advapi (549); C:\\Windows\\System32\\SearchIndexer.exe (327),Microsoft-Windows-Security-Auditing (3899); 4688 (2862); A new process has been created. (2860); An account was successfully logged on. (690); 4624 (690),tmtp-000323$ (4318); - (1800); user007 (898); user036 (530); user074 (170),,10.50.21.99 (3863); 10.50.11.34 (22); 10.50.11.6 (6); 10.37.7.77 (6); 10.50.11.20 (1),tmtp-000323_SIEM_2025-12-23.csv
host,tmtp-000187,2025-12-23,low,"События: 2465. Диапазон времени: 2025-12-23 00:00:25 — 2025-12-23 23:57:33. Пиковые часы: 14:00 (395); 09:00 (204); 16:00 (173); 15:00 (157); 18:00 (138). Запуск ПО: C:\\Windows\\System32\\svchost.exe (883); C:\\Windows\\System32\\SearchIndexer.exe (408); - (288); C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe -Embedding (205); ""C:\\WINDOWS\\system32\\SearchFilterHost.exe"" 0 712 724 732 8192 728 (200). События/ID: Microsoft-Windows-Security-Auditing (2465); 4688 (1829); A new process has been created. (1829); An account was successfully logged on. (314); 4624 (314). Сетевые адреса/сайты: 10.50.30.112 (2340); 10.50.11.6 (92); 10.50.11.34 (25); 10.37.7.77 (3); 10.50.11.20 (3).",,2465,2025-12-23 00:00:25 — 2025-12-23 23:57:33,14:00 (395); 09:00 (204); 16:00 (173); 15:00 (157); 18:00 (138),"C:\\Windows\\System32\\svchost.exe (883); C:\\Windows\\System32\\SearchIndexer.exe (408); - (288); C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe -Embedding (205); ""C:\\WINDOWS\\system32\\SearchFilterHost.exe"" 0 712 724 732 8192 728 (200)",Microsoft-Windows-Security-Auditing (2465); 4688 (1829); A new process has been created. (1829); An account was successfully logged on. (314); 4624 (314),tmtp-000187$ (2782); - (1590); user039 (356); user036 (119); user035 (26),,10.50.30.112 (2340); 10.50.11.6 (92); 10.50.11.34 (25); 10.37.7.77 (3); 10.50.11.20 (3),tmtp-000187_SIEM_2025-12-23.csv
host,tmtp-003312,2025-12-23,low,События: 549. Диапазон времени: 2025-12-23 00:08:01 — 2025-12-23 23:56:54. Пиковые часы: 12:00 (54); 16:00 (44); 14:00 (39); 09:00 (36); 08:00 (29). Запуск ПО: - (518); Advapi (412); Kerberos (124); User32 (5); Negotiat (5). События/ID: Microsoft-Windows-Security-Auditing (549); 4624 (546); An account was successfully logged on. (546); 4634 (2); An account was logged off. (2). Сетевые адреса/сайты: 10.50.29.67 (512); 10.50.11.34 (28); 10.50.11.20 (4); 10.37.7.77 (3); 10.50.11.6 (2).,,549,2025-12-23 00:08:01 — 2025-12-23 23:56:54,12:00 (54); 16:00 (44); 14:00 (39); 09:00 (36); 08:00 (29),- (518); Advapi (412); Kerberos (124); User32 (5); Negotiat (5),Microsoft-Windows-Security-Auditing (549); 4624 (546); An account was successfully logged on. (546); 4634 (2); An account was logged off. (2),tmtp-003312$ (549); user036 (399); - (125); user035 (13); user027 (10),,10.50.29.67 (512); 10.50.11.34 (28); 10.50.11.20 (4); 10.37.7.77 (3); 10.50.11.6 (2),tmtp-003312_SIEM_2025-12-23.csv
