entity_type,entity,date,severity,top_contributors,real_user,event_count,time_range,top_hours,top_programs,top_event_names,top_users,top_hosts,top_addresses,source_files
host,cplus-010620,2025-12-21,high,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_night_share:+1.08 (v=0, base=0); siem_business_share:-0.77 (v=0, base=0); siem_unique_destination_addr:-0.67 (v=2, base=3)",,4329,2025-12-21 00:00:03 — 2025-12-21 23:59:04,10:00 (208); 02:00 (206); 18:00 (204); 15:00 (196); 12:00 (195),Kerberos (2146); - (2146); NtLmSsp (25); KDC_ERR_NONE (12),Microsoft-Windows-Security-Auditing (4329); 4624 (2171); An account was successfully logged on. (2171); 4634 (2146); An account was logged off. (2146),cplus-010620$ (4329); - (2171),,10.50.11.6 (4304); 10.50.11.34 (25),cplus-010620_SIEM_2025-12-21.csv
host,tmtp-000392,2025-12-21,high,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_events_total:-1.30 (v=3757, base=3880); siem_unique_destination_addr:-0.67 (v=3, base=4); siem_business_share:-0.48 (v=0, base=0)",,3757,2025-12-21 00:00:03 — 2025-12-21 23:59:04,08:00 (183); 16:00 (182); 19:00 (182); 01:00 (181); 17:00 (178),- (1861); Kerberos (1856); NtLmSsp (18); KDC_ERR_NONE (12),Microsoft-Windows-Security-Auditing (3757); An account was successfully logged on. (1874); 4624 (1874); 4634 (1861); An account was logged off. (1861),tmtp-000392$ (3757); - (1884),,10.50.11.6 (3714); 10.37.7.77 (30); 10.50.11.34 (13),tmtp-000392_SIEM_2025-12-21.csv
host,tmtp-003372,2025-12-21,low,"is_weekend:+2.30 (v=1, base=0); siem_unique_destination_addr:-1.35 (v=2, base=4); siem_unique_source_process:-1.08 (v=25, base=33); day_of_week:+1.01 (v=6, base=3); siem_business_share:-0.80 (v=0, base=0)",,2395,2025-12-21 00:00:33 — 2025-12-21 23:58:51,11:00 (142); 05:00 (131); 14:00 (126); 03:00 (126); 21:00 (125),C:\\Windows\\System32\\svchost.exe (1018); C:\\Windows\\System32\\services.exe (422); - (395); Advapi (305); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (214),Microsoft-Windows-Security-Auditing (2395); 4688 (1644); A new process has been created. (1644); 4624 (454); An account was successfully logged on. (454),tmtp-003372$ (2739); - (1001); user096 (730); user036 (293); user035 (24),,10.50.21.59 (2336); 10.50.11.34 (59),tmtp-003372_SIEM_2025-12-21.csv
host,tmtp-004132,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_unique_destination_addr:-1.35 (v=4, base=6); siem_night_share:+1.35 (v=0, base=0); siem_events_total:-0.70 (v=613, base=658)",,613,2025-12-21 00:00:20 — 2025-12-21 23:57:25,19:00 (37); 09:00 (37); 15:00 (32); 05:00 (31); 22:00 (31),- (584); Advapi (467); Kerberos (132); Authz (8); User32 (2),Microsoft-Windows-Security-Auditing (613); 4624 (611); An account was successfully logged on. (611); An account was logged off. (1); Group membership information. (1),tmtp-004132$ (613); user036 (455); - (133); user035 (12); tmtp-lictrds$ (8),,10.50.21.55 (575); 10.50.11.34 (27); 10.50.11.133 (8); 10.37.7.77 (3),tmtp-004132_SIEM_2025-12-21.csv
host,tmtp-000907,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); siem_night_share:-2.06 (v=0, base=0); day_of_week:+1.57 (v=6, base=2); siem_business_share:-0.70 (v=0, base=0); siem_events_total:+0.58 (v=544, base=510)",,544,2025-12-21 00:02:08 — 2025-12-21 23:59:04,18:00 (33); 12:00 (31); 16:00 (30); 22:00 (28); 08:00 (27),- (514); Advapi (416); Kerberos (126),Microsoft-Windows-Security-Auditing (544); 4624 (542); An account was successfully logged on. (542); An account was logged off. (1); Group membership information. (1),tmtp-000907$ (544); user036 (404); - (127); user035 (12),,10.50.37.15 (513); 10.50.11.34 (28); 10.37.7.77 (3),tmtp-000907_SIEM_2025-12-21.csv
host,tmtp-003146,2025-12-21,low,"siem_unique_source_process:-8.54 (v=26, base=45); siem_unique_users:-6.74 (v=3, base=8); siem_night_share:+5.15 (v=0, base=0); siem_events_total:-3.48 (v=1395, base=2866); siem_business_share:-2.79 (v=0, base=1)",,1395,2025-12-21 00:00:32 — 2025-12-21 23:49:40,03:00 (114); 12:00 (108); 14:00 (96); 00:00 (79); 11:00 (77),C:\\Windows\\System32\\svchost.exe (414); - (259); C:\\Windows\\system32\\wbem\\wmiprvse.exe -Embedding (219); C:\\Windows\\System32\\services.exe (211); Advapi (164),Microsoft-Windows-Security-Auditing (1395); 4688 (809); A new process has been created. (809); 4662 (305); An operation was performed on an object. (305),tmtp-003146$ (1747); - (857); user036 (152); user035 (24); user002 (5),,10.50.33.18 (1368); 10.37.7.77 (15); 10.50.11.34 (12),tmtp-003146_SIEM_2025-12-21.csv
host,tmtp-000143,2025-12-21,low,"siem_night_share:+3.17 (v=0, base=0); siem_events_total:-2.79 (v=1400, base=2541); siem_unique_source_process:-2.43 (v=16, base=34); is_weekend:+2.32 (v=1, base=0); siem_business_share:-2.17 (v=0, base=1)",,1400,2025-12-21 00:00:32 — 2025-12-21 23:58:02,10:00 (104); 18:00 (91); 00:00 (85); 06:00 (85); 12:00 (84),C:\\Windows\\System32\\svchost.exe (475); C:\\Windows\\System32\\SearchIndexer.exe (234); C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe -Embedding (202); - (176); Kerberos (131),Microsoft-Windows-Security-Auditing (1400); 4688 (883); A new process has been created. (883); 4662 (311); An operation was performed on an object. (311),tmtp-000143$ (1747); - (854); user005 (112); user036 (61); user035 (24),,10.50.34.12 (1369); 10.50.11.34 (28); 10.37.7.77 (3),tmtp-000143_SIEM_2025-12-21.csv
host,cplus-0107994,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_business_share:-0.95 (v=0, base=0); siem_events_total:-0.83 (v=562, base=634); siem_unique_destination_addr:-0.67 (v=3, base=4)",,562,2025-12-21 00:01:29 — 2025-12-21 23:57:07,14:00 (36); 04:00 (32); 08:00 (32); 16:00 (32); 18:00 (31),- (531); Advapi (426); Kerberos (134),Microsoft-Windows-Security-Auditing (562); 4624 (560); An account was successfully logged on. (560); An account was logged off. (1); Group membership information. (1),cplus-0107994$ (562); user036 (414); - (135); user035 (12),,10.50.26.22 (530); 10.50.11.34 (29); 10.37.7.77 (3),cplus-0107994_SIEM_2025-12-21.csv
host,tmtp-003560,2025-12-21,low,"siem_events_total:-6.20 (v=294, base=487); is_weekend:+2.53 (v=1, base=0); siem_unique_users:-2.02 (v=2, base=8); siem_unique_source_process:-2.00 (v=2, base=5); day_of_week:+1.35 (v=6, base=2)",,294,2025-12-21 00:05:31 — 2025-12-21 23:49:14,12:00 (21); 06:00 (20); 16:00 (18); 04:00 (17); 08:00 (17),- (271); Advapi (169); Kerberos (115),Microsoft-Windows-Security-Auditing (294); 4624 (284); An account was successfully logged on. (284); An account was logged off. (5); Group membership information. (5),tmtp-003560$ (294); user036 (157); - (120); user035 (12),,10.50.26.43 (266); 10.37.7.77 (15); 10.50.11.34 (13),tmtp-003560_SIEM_2025-12-21.csv
host,tmtp-003672,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); siem_unique_users:-2.02 (v=4, base=7); day_of_week:+1.57 (v=6, base=2); siem_night_share:+1.37 (v=0, base=0); siem_business_share:-1.13 (v=0, base=1)",,2878,2025-12-21 00:00:33 — 2025-12-21 23:57:45,10:00 (266); 08:00 (195); 16:00 (145); 15:00 (144); 00:00 (136),C:\\Windows\\System32\\svchost.exe (1141); C:\\Windows\\System32\\services.exe (534); - (517); Advapi (406); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (228),Microsoft-Windows-Security-Auditing (2878); 4688 (2016); A new process has been created. (2016); 4624 (545); An account was successfully logged on. (545),tmtp-003672$ (3248); - (1359); user001 (721); user036 (394); user035 (24),,10.50.101.5 (2836); 10.50.11.34 (28); 10.50.11.6 (8); 10.50.11.20 (3); 10.37.7.77 (3),tmtp-003672_SIEM_2025-12-21.csv
host,tmtp-000766,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); siem_unique_source_process:-2.02 (v=30, base=36); siem_night_share:+1.83 (v=0, base=0); day_of_week:+1.57 (v=6, base=2); siem_events_total:-1.42 (v=2599, base=3164)",,2599,2025-12-21 00:00:32 — 2025-12-21 23:57:04,11:00 (170); 14:00 (156); 00:00 (138); 03:00 (135); 10:00 (127),C:\\Windows\\System32\\svchost.exe (985); - (524); C:\\Windows\\System32\\services.exe (489); Advapi (372); C:\\Windows\\system32\\wbem\\wmiprvse.exe -Embedding (204),Microsoft-Windows-Security-Auditing (2599); 4688 (1739); A new process has been created. (1739); 4624 (551); An account was successfully logged on. (551),tmtp-000766$ (2950); - (1332); user010 (523); user036 (360); user035 (24),,10.50.30.56 (2525); 10.50.11.20 (36); 10.50.11.34 (27); 10.50.11.6 (8); 10.37.7.77 (3),tmtp-000766_SIEM_2025-12-21.csv
host,tmtp-000187,2025-12-21,low,"siem_unique_source_process:-2.95 (v=16, base=34); siem_night_share:+2.45 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); siem_events_total:-2.27 (v=1796, base=2498); siem_business_share:-1.96 (v=0, base=1)",,1796,2025-12-21 00:00:24 — 2025-12-21 23:52:11,10:00 (108); 12:00 (104); 14:00 (103); 00:00 (99); 15:00 (98),"C:\\Windows\\System32\\svchost.exe (605); C:\\Windows\\System32\\SearchIndexer.exe (404); - (233); ""C:\\WINDOWS\\system32\\SearchFilterHost.exe"" 0 712 724 732 8192 728 (204); C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe -Embedding (203)",Microsoft-Windows-Security-Auditing (1796); 4688 (1214); A new process has been created. (1214); 4662 (281); An operation was performed on an object. (281),tmtp-000187$ (2117); - (1110); user039 (203); user036 (88); user035 (24),,10.50.30.112 (1679); 10.50.11.6 (96); 10.50.11.34 (18); 10.37.7.77 (3),tmtp-000187_SIEM_2025-12-21.csv
host,tmtp-000323,2025-12-21,low,"is_weekend:+2.32 (v=1, base=0); siem_unique_source_process:-1.69 (v=28, base=33); day_of_week:+1.57 (v=6, base=2); siem_night_share:+1.54 (v=0, base=0); siem_business_share:-1.28 (v=0, base=0)",,2983,2025-12-21 00:00:32 — 2025-12-21 23:57:40,10:00 (210); 12:00 (160); 04:00 (151); 00:00 (150); 11:00 (150),C:\\Windows\\System32\\svchost.exe (999); C:\\Windows\\System32\\services.exe (621); - (616); Advapi (503); C:\\Windows\\System32\\SearchIndexer.exe (236),Microsoft-Windows-Security-Auditing (2983); 4688 (2008); A new process has been created. (2008); 4624 (645); An account was successfully logged on. (645),tmtp-000323$ (3364); - (1541); user007 (541); user036 (491); user035 (24),,10.50.21.99 (2950); 10.50.11.34 (29); 10.37.7.77 (3); 10.50.11.61 (1),tmtp-000323_SIEM_2025-12-21.csv
host,tmtp-000126,2025-12-21,medium,"siem_unique_source_process:-3.37 (v=13, base=33); siem_night_share:+3.30 (v=0, base=0); siem_business_share:-3.28 (v=0, base=1); siem_events_total:-2.66 (v=932, base=2425); is_weekend:+2.30 (v=1, base=0)",,932,2025-12-21 00:00:33 — 2025-12-21 23:57:12,06:00 (60); 12:00 (59); 14:00 (58); 15:00 (56); 10:00 (55),C:\\Windows\\System32\\svchost.exe (304); Kerberos (145); - (136); C:\\Windows\\System32\\services.exe (60); Advapi (50),Microsoft-Windows-Security-Auditing (932); 4688 (453); A new process has been created. (453); 4662 (284); An operation was performed on an object. (284),tmtp-000126$ (1249); - (426); user072 (127); user036 (38); user035 (24),,10.50.30.224 (873); 10.50.11.34 (59),tmtp-000126_SIEM_2025-12-21.csv
host,tmtp-000565,2025-12-21,medium,"siem_unique_source_process:-4.45 (v=16, base=32); is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_night_share:+1.06 (v=0, base=0); siem_unique_users:-1.00 (v=3, base=4)",,1984,2025-12-21 00:00:32 — 2025-12-21 23:53:16,16:00 (126); 11:00 (123); 10:00 (122); 14:00 (117); 09:00 (108),C:\\Windows\\System32\\svchost.exe (729); - (306); C:\\Windows\\System32\\services.exe (214); Advapi (210); C:\\Windows\\System32\\SearchIndexer.exe (209),Microsoft-Windows-Security-Auditing (1984); 4688 (1342); A new process has been created. (1342); 4624 (332); An account was successfully logged on. (332),tmtp-000565$ (2326); - (1125); user046 (295); user036 (198); user035 (24),,10.50.35.32 (1958); 10.50.11.34 (26),tmtp-000565_SIEM_2025-12-21.csv
host,tmtp-000262,2025-12-21,medium,"siem_unique_hours:+4.05 (v=19, base=13); siem_night_share:+2.58 (v=0, base=0); is_weekend:+2.30 (v=1, base=0); siem_unique_source_process:-2.14 (v=18, base=37); siem_unique_users:-2.02 (v=4, base=7)",,2231,2025-12-21 00:00:32 — 2025-12-21 18:57:04,08:00 (201); 10:00 (176); 09:00 (141); 18:00 (141); 00:00 (140),C:\\Windows\\System32\\svchost.exe (942); C:\\Windows\\System32\\services.exe (374); - (327); Advapi (248); C:\\Windows\\System32\\SearchIndexer.exe (195),Microsoft-Windows-Security-Auditing (2231); 4688 (1614); A new process has been created. (1614); 4624 (346); An account was successfully logged on. (346),tmtp-000262$ (2567); - (987); user037 (646); user036 (238); user035 (20),,10.50.30.240 (2205); 10.50.11.34 (19); 10.50.11.163 (3); 10.37.7.77 (3); 10.50.11.167 (1),tmtp-000262_SIEM_2025-12-21.csv
host,tmtp-000177,2025-12-21,medium,"siem_unique_source_process:-5.40 (v=16, base=32); siem_events_total:-3.89 (v=1467, base=2794); siem_business_share:-3.80 (v=0, base=1); siem_unique_event_class:-2.32 (v=5, base=6); is_weekend:+2.32 (v=1, base=0)",,1467,2025-12-21 00:00:03 — 2025-12-21 23:59:59,00:00 (162); 07:00 (98); 18:00 (88); 10:00 (86); 21:00 (78),C:\\Windows\\System32\\svchost.exe (471); C:\\Windows\\System32\\SearchIndexer.exe (202); C:\\WINDOWS\\system32\\wbem\\wmiprvse.exe -Embedding (200); - (184); Kerberos (121),Microsoft-Windows-Security-Auditing (1467); 4688 (964); A new process has been created. (964); 4662 (293); An operation was performed on an object. (293),tmtp-000177$ (1800); - (930); user038 (103); user036 (75); user035 (24),,10.50.39.11 (1440); 10.50.11.34 (24); 10.37.7.77 (3),tmtp-000177_SIEM_2025-12-21.csv
host,tmtp-000282,2025-12-21,medium,"is_weekend:+2.32 (v=1, base=0); siem_unique_source_process:-2.16 (v=26, base=34); siem_unique_event_class:-2.04 (v=5, base=6); siem_unique_destination_addr:-2.02 (v=3, base=6); siem_night_share:+1.62 (v=0, base=0)",,4540,2025-12-21 00:00:32 — 2025-12-21 23:58:54,12:00 (302); 15:00 (257); 08:00 (246); 09:00 (230); 16:00 (227),C:\\Windows\\System32\\svchost.exe (2737); C:\\Windows\\System32\\services.exe (616); - (611); C:\\Windows\\System32\\RuntimeBroker.exe -Embedding (528); Advapi (492),Microsoft-Windows-Security-Auditing (4540); 4688 (3588); A new process has been created. (3588); 4624 (639); An account was successfully logged on. (639),tmtp-000282$ (4907); - (1478); v.tkach (972); user050 (607); user084 (606),,10.50.30.15 (4509); 10.50.11.34 (28); 10.37.7.77 (3),tmtp-000282_SIEM_2025-12-21.csv
host,tmtp-000833,2025-12-21,medium,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_unique_source_process:-1.56 (v=18, base=33); siem_business_share:-0.86 (v=0, base=0); siem_night_share:+0.86 (v=0, base=0)",,17253,2025-12-21 00:00:32 — 2025-12-21 23:59:45,08:00 (762); 20:00 (753); 22:00 (745); 18:00 (744); 07:00 (742),"C:\\Windows\\System32\\cmd.exe (8448); \\??\\C:\\WINDOWS\\system32\\conhost.exe 0xffffffff -ForceV1 (4262); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (4224); ""C:\\WINDOWS\\system32\\qwinsta.exe"" (1440); ""C:\\WINDOWS\\system32\\query.exe"" session (1440)",Microsoft-Windows-Security-Auditing (17253); 4688 (16749); A new process has been created. (16749); 4662 (300); An operation was performed on an object. (300),tmtp-000833$ (17583); - (16595); user090 (220); user036 (84); user035 (24),,10.50.30.77 (17229); 10.50.11.34 (24),tmtp-000833_SIEM_2025-12-21.csv
host,tmtp-000326,2025-12-21,medium,"siem_unique_source_process:-12.82 (v=27, base=46); siem_night_share:+7.27 (v=0, base=0); siem_events_total:-4.32 (v=1500, base=2949); is_weekend:+2.30 (v=1, base=0); siem_unique_users:-2.11 (v=3, base=8)",,1500,2025-12-21 00:00:32 — 2025-12-21 23:59:06,18:00 (128); 04:00 (108); 00:00 (94); 02:00 (85); 11:00 (84),C:\\Windows\\System32\\svchost.exe (441); - (272); C:\\Windows\\System32\\services.exe (241); C:\\Windows\\system32\\wbem\\wmiprvse.exe -Embedding (224); Advapi (170),Microsoft-Windows-Security-Auditing (1500); 4688 (871); A new process has been created. (871); 4662 (334); An operation was performed on an object. (334),tmtp-000326$ (1884); - (914); user036 (158); user035 (24); user002 (15),,10.50.24.17 (1472); 10.37.7.77 (15); 10.50.11.34 (13),tmtp-000326_SIEM_2025-12-21.csv
host,tmtp-000224,2025-12-21,medium,"is_weekend:+2.53 (v=1, base=0); siem_unique_source_process:-1.54 (v=17, base=33); day_of_week:+1.35 (v=6, base=2); siem_business_share:-1.34 (v=0, base=1); siem_events_total:-0.88 (v=1425, base=2180)",,1425,2025-12-21 00:00:03 — 2025-12-21 23:59:10,00:00 (157); 09:00 (80); 11:00 (75); 23:00 (75); 18:00 (74),"C:\\Windows\\System32\\svchost.exe (402); C:\\Windows\\System32\\SearchIndexer.exe (236); - (132); ""C:\\WINDOWS\\system32\\SearchFilterHost.exe"" 0 720 724 732 8192 728 (117); Kerberos (115)",Microsoft-Windows-Security-Auditing (1425); A new process has been created. (960); 4688 (960); 4662 (302); An operation was performed on an object. (302),tmtp-000224$ (1755); - (791); user040 (244); user036 (32); user035 (24),,10.50.21.38 (1384); 10.50.11.34 (27); 10.50.11.6 (8); 10.50.11.20 (6),tmtp-000224_SIEM_2025-12-21.csv
host,tmtp-003312,2025-12-21,medium,"siem_night_share:+2.48 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_unique_source_process:-1.35 (v=2, base=4); siem_events_total:-1.04 (v=492, base=540)",,492,2025-12-21 00:03:30 — 2025-12-21 23:59:31,13:00 (32); 09:00 (28); 15:00 (28); 12:00 (27); 14:00 (26),- (461); Advapi (363); Kerberos (127),Microsoft-Windows-Security-Auditing (492); 4624 (490); An account was successfully logged on. (490); An account was logged off. (1); Group membership information. (1),tmtp-003312$ (492); user036 (351); - (128); user035 (12),,10.50.29.67 (460); 10.50.11.34 (29); 10.37.7.77 (3),tmtp-003312_SIEM_2025-12-21.csv
host,tmtp-003541,2025-12-21,medium,"is_weekend:+2.45 (v=1, base=0); siem_events_total:-1.64 (v=572, base=701); siem_unique_source_process:-1.35 (v=2, base=4); day_of_week:+1.01 (v=6, base=3); siem_unique_destination_addr:-0.67 (v=5, base=6)",,572,2025-12-21 00:02:05 — 2025-12-21 23:56:45,09:00 (34); 19:00 (33); 03:00 (30); 14:00 (30); 11:00 (30),- (542); Advapi (421); Kerberos (149),Microsoft-Windows-Security-Auditing (572); 4624 (570); An account was successfully logged on. (570); An account was logged off. (1); Group membership information. (1),tmtp-003541$ (572); user036 (409); - (150); user035 (12),,10.50.33.12 (525); 10.50.11.34 (28); 10.50.11.31 (12); 10.50.11.167 (4); 10.37.7.77 (3),tmtp-003541_SIEM_2025-12-21.csv
host,tmtp-004018,2025-12-21,medium,"is_weekend:+2.32 (v=1, base=0); siem_night_share:+1.61 (v=0, base=0); day_of_week:+1.57 (v=6, base=2); siem_business_share:-1.21 (v=0, base=0); siem_events_total:+0.39 (v=685, base=662)",,685,2025-12-21 00:00:30 — 2025-12-21 23:54:19,20:00 (43); 09:00 (41); 07:00 (38); 04:00 (36); 22:00 (36),- (652); Advapi (523); Kerberos (129); Negotiat (13); User32 (13),Microsoft-Windows-Security-Auditing (685); An account was successfully logged on. (678); 4624 (678); 4625 (5); An account failed to log on. (5),tmtp-004018$ (685); user036 (511); - (130); user052 (31); user035 (12),,10.50.30.48 (651); 10.50.11.34 (26); 10.50.11.20 (5); 10.37.7.77 (3),tmtp-004018_SIEM_2025-12-21.csv
host,tmtp-000247,2025-12-21,medium,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); siem_unique_destination_addr:-1.35 (v=3, base=4); siem_unique_source_process:-1.35 (v=33, base=38); siem_business_share:-1.24 (v=0, base=0)",,19235,2025-12-21 00:00:30 — 2025-12-21 23:59:45,10:00 (886); 14:00 (858); 08:00 (846); 03:00 (838); 15:00 (832),"C:\\Windows\\System32\\cmd.exe (8448); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (4291); C:\\Program Files\\Zabbix Agent 2\\zabbix_agent2.exe (4224); ""C:\\Windows\\system32\\qwinsta.exe"" (1440); /C ""powershell -Command ""& { $result=@(); $sessions=query session 2>&1; if(!$sessions) { $sessions=query user 2>&1 }; if($sessions) { $lines=$sessions -split \\""`r`n\\""; foreach($line in $lines) { if($line -match 'rdp-tcp|console') { if($line -match '(>?)(rdp-tcp#\\d+|console)\\s+(\\S+)\\s+\\d+\\s+(\\S+)') { $sessionName=$matches[2]; $username=$matches[3]; $state=$matches[4]; if($sessionName -match 'rdp') { $type='R:' } else { $type='L:' }; if($state -eq 'Активно') { $result+=\\""$type$username\\"" } } } } }; if($result.Count -eq 0) { $lastUser=(Get-ItemProperty 'HKLM:\\\\SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Authentication\\\\LogonUI' -Name LastLoggedOnUser -ErrorAction SilentlyContinue).LastLoggedOnUser; if($lastUser) { $lastUser } else { 'No sessions' } } else { $result -join ', ' } }"""" (1440)",Microsoft-Windows-Security-Auditing (19235); 4688 (18174); A new process has been created. (18174); 4624 (720); An account was successfully logged on. (720),tmtp-000247$ (19628); - (17438); user075 (815); user036 (560); user035 (24),,10.50.32.7 (19203); 10.50.11.34 (29); 10.37.7.77 (3),tmtp-000247_SIEM_2025-12-21.csv
host,tmtp-004135,2025-12-21,medium,"siem_events_total:-3.61 (v=320, base=598); siem_business_share:-2.41 (v=0, base=0); siem_night_share:+2.37 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); siem_unique_source_process:-2.25 (v=2, base=5)",,320,2025-12-21 00:12:32 — 2025-12-21 23:54:57,19:00 (18); 12:00 (18); 00:00 (17); 20:00 (17); 08:00 (16),- (294); Advapi (163); Kerberos (147),Microsoft-Windows-Security-Auditing (320); 4624 (310); An account was successfully logged on. (310); Group membership information. (5); An account was logged off. (5),tmtp-004135$ (320); - (152); user036 (151); user035 (12),,10.50.30.13 (281); 10.50.11.34 (16); 10.37.7.77 (15); 10.50.11.31 (4); 10.50.11.167 (4),tmtp-004135_SIEM_2025-12-21.csv
host,tmtp-000085,2025-12-21,medium,"siem_night_share:+2.72 (v=0, base=0); is_weekend:+2.32 (v=1, base=0); siem_business_share:-2.32 (v=1, base=1); day_of_week:+1.57 (v=6, base=2); siem_events_total:-1.39 (v=1858, base=2394)",,1858,2025-12-21 00:00:33 — 2025-12-21 23:59:41,11:00 (534); 12:00 (104); 13:00 (86); 04:00 (76); 16:00 (74),C:\\Windows\\System32\\svchost.exe (436); C:\\Windows\\System32\\SearchIndexer.exe (248); C:\\Windows\\Microsoft.NET\\Framework64\\v4.0.30319\\ngentask.exe (232); - (221); C:\\Windows\\Microsoft.NET\\Framework\\v4.0.30319\\ngentask.exe (178),Microsoft-Windows-Security-Auditing (1858); A new process has been created. (1320); 4688 (1320); 4662 (286); An operation was performed on an object. (286),tmtp-000085$ (2175); - (1255); user004 (167); user036 (86); user035 (24),,10.50.30.36 (1806); 10.50.11.34 (27); 10.50.11.163 (11); 10.50.11.6 (8); 10.50.11.167 (6),tmtp-000085_SIEM_2025-12-21.csv
host,tmtp-003213,2025-12-21,medium,"is_weekend:+2.32 (v=1, base=0); day_of_week:+1.57 (v=6, base=2); pan_events_total:-1.44 (v=4194, base=5876); pan_night_share:+1.37 (v=0, base=0); pan_unique_destination_addr:-1.00 (v=366, base=394)",,34052,2025-12-21 00:00:00 — 2025-12-21 23:59:41,06:00 (3032); 07:00 (2372); 11:00 (2008); 08:00 (1835); 10:00 (1795),C:\\Windows\\System32\\cmd.exe (8448); - (8383); NtLmSsp (6034); \\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1 (4272); Trusted Zone (4250),Microsoft-Windows-Security-Auditing (29791); 4688 (19506); A new process has been created. (19504); An account was successfully logged on. (8626); 4624 (8626),- (26047); tmtp-003213$ (20931); user052 (15465); user036 (673); tmtp-004018$ (31),,10.50.30.102 (20712); 10.50.11.20 (6614); 10.14.1.72 (1972); 135.233.45.221 (245); 172.178.240.162 (158),tmtp-003213_SIEM_2025-12-21.csv; tmtp-003213_PAN_2025-12-21.csv
